date,day_of_week,blood_group,blood_product,units_used
2020-01-01,Wednesday,A+,RBC,2
2020-01-01,Wednesday,O-,Platelets,0
2020-01-01,Wednesday,O-,Plasma,2
2020-01-01,Wednesday,O-,RBC,0
2020-01-01,Wednesday,O+,Platelets,0
2020-01-01,Wednesday,O+,Plasma,2
2020-01-01,Wednesday,O+,RBC,1
2020-01-01,Wednesday,AB-,Plasma,0
2020-01-01,Wednesday,AB-,RBC,0
2020-01-01,Wednesday,AB+,Platelets,0
2020-01-01,Wednesday,AB+,Plasma,1
2020-01-01,Wednesday,AB+,RBC,0
2020-01-01,Wednesday,AB-,Platelets,1
2020-01-01,Wednesday,B-,Plasma,0
2020-01-01,Wednesday,B-,Platelets,1
2020-01-01,Wednesday,A+,Platelets,2
2020-01-01,Wednesday,A-,RBC,0
2020-01-01,Wednesday,A-,Plasma,5
2020-01-01,Wednesday,A-,Platelets,2
2020-01-01,Wednesday,A+,Plasma,4
2020-01-01,Wednesday,B+,Plasma,0
2020-01-01,Wednesday,B+,Platelets,0
2020-01-01,Wednesday,B-,RBC,0
2020-01-01,Wednesday,B+,RBC,0
2020-01-02,Thursday,AB+,Plasma,0
2020-01-02,Thursday,O-,Platelets,0
2020-01-02,Thursday,O-,Plasma,1
2020-01-02,Thursday,O-,RBC,0
2020-01-02,Thursday,O+,Platelets,0
2020-01-02,Thursday,O+,Plasma,3
2020-01-02,Thursday,O+,RBC,0
2020-01-02,Thursday,AB-,Plasma,2
2020-01-02,Thursday,AB-,RBC,0
2020-01-02,Thursday,AB+,Platelets,1
2020-01-02,Thursday,AB+,RBC,0
2020-01-02,Thursday,AB-,Platelets,2
2020-01-02,Thursday,B-,Plasma,0
2020-01-02,Thursday,A+,Plasma,0
2020-01-02,Thursday,A+,Platelets,0
2020-01-02,Thursday,A-,RBC,0
2020-01-02,Thursday,A-,Plasma,0
2020-01-02,Thursday,A-,Platelets,0
2020-01-02,Thursday,A+,RBC,1
2020-01-02,Thursday,B+,RBC,1
2020-01-02,Thursday,B-,RBC,0
2020-01-02,Thursday,B-,Platelets,8
2020-01-02,Thursday,B+,Plasma,1
2020-01-02,Thursday,B+,Platelets,0
2020-01-03,Friday,AB+,RBC,0
2020-01-03,Friday,O-,Plasma,1
2020-01-03,Friday,O-,RBC,0
2020-01-03,Friday,O+,Platelets,0
2020-01-03,Friday,O-,Platelets,0
2020-01-03,Friday,O+,RBC,2
2020-01-03,Friday,AB-,Platelets,0
2020-01-03,Friday,AB-,Plasma,0
2020-01-03,Friday,AB-,RBC,0
2020-01-03,Friday,AB+,Platelets,0
2020-01-03,Friday,AB+,Plasma,1
2020-01-03,Friday,O+,Plasma,5
2020-01-03,Friday,B-,Platelets,0
2020-01-03,Friday,B-,RBC,0
2020-01-03,Friday,B+,Platelets,1
2020-01-03,Friday,B+,Plasma,0
2020-01-03,Friday,B+,RBC,0
2020-01-03,Friday,A-,Platelets,0
2020-01-03,Friday,A-,Plasma,0
2020-01-03,Friday,A-,RBC,0
2020-01-03,Friday,A+,Platelets,1
2020-01-03,Friday,A+,Plasma,0
2020-01-03,Friday,A+,RBC,2
2020-01-03,Friday,B-,Plasma,0
2020-01-04,Saturday,AB+,Platelets,7
2020-01-04,Saturday,AB-,RBC,9
2020-01-04,Saturday,AB-,Plasma,4
2020-01-04,Saturday,O+,RBC,8
2020-01-04,Saturday,AB+,Plasma,5
2020-01-04,Saturday,O+,Platelets,6
2020-01-04,Saturday,O-,RBC,5
2020-01-04,Saturday,O-,Plasma,2
2020-01-04,Saturday,O-,Platelets,8
2020-01-04,Saturday,O+,Plasma,4
2020-01-04,Saturday,AB+,RBC,10
2020-01-04,Saturday,AB-,Platelets,4
2020-01-04,Saturday,B-,Plasma,6
2020-01-04,Saturday,A+,RBC,7
2020-01-04,Saturday,A+,Plasma,7
2020-01-04,Saturday,A+,Platelets,7
2020-01-04,Saturday,A-,RBC,6
2020-01-04,Saturday,A-,Plasma,7
